city,vendor_id,brand_name,vendor_name,vertical,latitude,longitude
Lima,207630,Teppan Burger,Teppan Burger Pueblo Libre,restaurants,-12.078800201416,-77.0634002685547
Lima,207654,Dunkin Donuts,Dunkin Donuts Puruchuco,restaurants,-12.0401000976562,-76.9322967529297
Lima,207863,Frutix,Frutix Real Plaza Cc,restaurants,-12.0565004348755,-77.0376968383789
Lima,208222,Cinnabon,Cinnabon Plaza Norte,restaurants,-12.0064001083374,-77.0580978393555
Lima,208238,La Baguette,La Baguette Villa,restaurants,-12.2166996002197,-77.002403259277315
Lima,208310,Bembos,Bembos Camino Real,restaurants,-12.0970001220703,-77.0358963012695
Lima,208421,Zonámbulos,Zonambulos,restaurants,-12.0493001937866,-77.0485992431641
Lima,208589,Little Caesars' Pizza,Little Caesars Pizza La Marina,restaurants,-12.0784997940063,-77.0796966552734
Lima,208648,BamBam Diner,Bambam Diner,restaurants,-12.0805997848511,-77.087997436523409
Lima,208788,Mediterráneo Parrillas,Mediterraneo Parrillas Alfredo Benavides,restaurants,-12.1267995834351,-77.01450347900392
Lima,208808,Sarcletti,Sarcletti Chacarilla,restaurants,-12.1128997802734,-76.9913024902344
Lima,208854,La Broastería,La Broasteria,restaurants,-11.994299888610799,-77.0800018310547
Lima,209715,The Best Burger,The Best Burger Angamos,restaurants,-12.1135997772217,-77.024299621582
Lima,219269,Inkafarma,Inkafarma Ignacio Merino,pharmacies,-12.0864000320435,-77.032096862793
Lima,219430,Plaza Vea,Plazavea Universitaria Comprador Personal,groceries,-12.0107002258301,-77.0800018310547
Lima,219630,Tambo,Tambo Aramburu,groceries,-12.102199554443398,-77.0233001708984
Lima,224898,Empanacombi,Empanacombi San Miguel,restaurants,-12.0790004730225,-77.0877990722656
Lima,230089,El 10 Plaza Norte,El 10 Plaza Norte,restaurants,-12.0072002410889,-77.0584030151367
Lima,231154,El Espigón Restobar,El Espigon Restobar,restaurants,-12.1440000534058,-77.0148010253906
Lima,242001,Brasa Mayor,Brasa Mayor,restaurants,-12.0488004684448,-77.0317001342773
Lima,259853,Alwok,Alwok,restaurants,-11.980199813842798,-77.0870971679688
Lima,262807,Luvaro Peru - Courier,Luvaro Peru Courier,courier_business,-12.069999694824197,-77.0129013061523
Lima,263646,Up Burger,Up Burger La Rambla,restaurants,-12.0904998779297,-77.0043029785156
Lima,264242,Farmauna,Farmauna Courier,courier_business,-12.1138000488281,-77.0133972167969
Lima,280072,Lord Sándwich,Lord Sandwich Chacarilla,restaurants,-12.1121997833252,-76.9896011352539
Lima,285594,Kane Poke Bowls,Kane Poke Bowl Surco,restaurants,-12.125599861145,-76.9832000732422
Lima,286161,Tai Loy,Tai Loy Benavides,cross_vertical,-12.1263999938965,-77.0180969238281
Lima,289356,Chinawok,Chinawok Canepa,restaurants,-12.064800262451202,-77.0148010253906
Lima,297721,Street Pizza -,Street Pizza,restaurants,-12.1386003494263,-77.0177001953125
Lima,206488,Chifa Hon Fok,Chifa Hon Fok,restaurants,-12.100799560546903,-76.9936981201172
Lima,206497,Chifa Dragón,Chifa Dragon Aviacion,restaurants,-12.104399681091301,-77.0009994506836
Lima,206526,Islandia,Islandia Husares De Junin,restaurants,-12.1670999526978,-77.0259017944336
Lima,206569,D'Julia,Djulia Magdalena,restaurants,-12.089300155639702,-77.0697021484375
Lima,206607,Papa John's,Papa Johns Centro Civico,restaurants,-12.056200027465799,-77.0372009277344
Lima,206927,Disfruta,Disfruta Inca Garcilaso De La Vega,restaurants,-12.0569000244141,-77.0376968383789
Lima,207634,Pappas Grill,Pappas Lince,restaurants,-12.0878000259399,-77.0328979492188
Lima,207716,Tortas Gaby,Tortas Gaby Mariscal Caceres,restaurants,-12.119600296020502,-77.018699645996108
Lima,207798,Rollos by Roll&Roll,Rollos By Rollroll Los Ruisenores,restaurants,-12.0482997894287,-76.967399597168
Lima,208257,Carnívoro,Carnivoro Rio Maranon,restaurants,-11.9721002578735,-77.07080078125
Lima,208290,Bembos,Bembos Helados San Borja,restaurants,-12.090800285339398,-77.0047988891602
Lima,208456,Bembos,Bembos Helados Mall Aventura Santa Anita,restaurants,-12.057000160217301,-76.9705963134766
Lima,209003,Chili's,Chilis Chacarilla,restaurants,-12.1112003326416,-76.9848022460938
Lima,209035,Croissant y Caffe,Croissant Y Caffe Emilio Cavenecia,restaurants,-12.109299659729,-77.0376968383789
Lima,209296,Mamma Tomato,Mamma Tomato Pizza Caminos Del Inca,restaurants,-12.1302003860474,-76.9822006225586
Lima,209397,El Hornero,El Hornero Rivera Navarrete 2,restaurants,-12.095299720764201,-77.0267028808594
Lima,209857,Maternelle,Maternelle Aviacion,cross_vertical,-12.1017999649048,-77.0014038085938
Lima,209990,Norky's,Norkys Universitaria,restaurants,-11.9422998428345,-77.0599975585938
Lima,210012,El Salar,El Salar,restaurants,-12.0920000076294,-77.0243988037109
Lima,219211,Inkafarma,Inkafarma Universitaria,pharmacies,-11.9552001953125,-77.0602035522461
Lima,219638,Tambo,Tambo Bar Camacho,drinks,-12.0819997787476,-76.9677963256836
